Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR14514187_2	0.0	0.0
SRR14514188_1	0.0	0.0
SRR14514188_2	0.10141072024411396	0.0
SRR14514189_1	0.0	0.0
SRR14514189_2	0.1561394050637679	0.5215159734511818
SRR14514190_1	0.0	0.0
SRR14514190_2	0.16972660032474857	0.3469456143994241
SRR14514191_1	0.0	0.0
SRR14514191_2	0.19161744837677935	0.6006211809262876
SRR14514192_1	0.0	0.0
SRR14514192_2	0.16109948821253908	0.735691361432543
SRR14514193_1	0.0	0.0
SRR14514193_2	0.21912937914942174	0.9407804081808457
SRR14514194_1	0.0	0.0
SRR14514194_2	0.23786228067596052	0.7796232212492613
SRR14514195_1	0.0	0.0
SRR14514195_2	0.2103716193976493	0.42432688796910084
SRR14514196_1	0.0	0.0
SRR14514196_2	0.1734909345800515	1.0054613068267426
SRR14514197_1	0.0	0.0
SRR14514197_2	0.0	0.0
SRR14514198_1	0.0	0.0
SRR14514198_2	0.18827090818931866	0.5570092757145942
SRR14514199_1	0.0	0.0
SRR14514199_2	0.14109912552188558	0.22375275878770184
SRR14514200_1	0.0	0.0
SRR14514200_2	0.1993386565863053	0.5435619019727614
SRR14514201_1	0.0	0.0
SRR14514201_2	0.13909728610659713	0.20691325225332283
SRR14514202_1	0.0	0.0
SRR14514202_2	0.13327045259766065	0.3631522080873564
SRR14514203_1	0.0	0.0
SRR14514203_2	0.17249474119627514	0.41936509461933613
SRR14514204_1	0.10554934543467485	0.0
SRR14514204_2	0.5007302949647618	1.0396188627949638
SRR14514205_1	0.0	0.0
SRR14514205_2	0.5055813583652576	2.3326022468011534
SRR14514206_1	0.1563586043979242	0.21591438595521434
SRR14514206_2	0.4739361666373588	1.169253441720155
SRR14514207_1	0.0	0.0
SRR14514207_2	0.3800239417021181	1.8381712196286712
SRR14514208_1	0.0	0.0
SRR14514208_2	0.2088132771274084	0.7753269666727132
SRR14514209_1	0.0	0.0
SRR14514209_2	0.20425989257655874	0.33797115755674356
SRR14514210_1	0.0	0.0
SRR14514210_2	0.16732628741504418	0.6731768575779157
SRR14514211_1	0.0	0.0
SRR14514211_2	0.13725378331584234	0.25538985049097984
SRR14514212_1	0.0	0.0
SRR14514212_2	0.2341258317252164	0.8846004069756463
SRR14514213_1	0.0	0.0
SRR14514213_2	0.1525127445371746	0.36918247450761044
SRR14514214_1	0.0	0.0
SRR14514214_2	0.0	0.0
SRR14514215_1	0.0	0.0
SRR14514215_2	0.18742712790638674	0.24875233074961364
SRR14514216_1	0.0	0.0
SRR14514216_2	0.22894577746104006	0.4333688107682432
SRR14514217_1	0.12168434740476126	0.0
SRR14514217_2	0.258965776667377	1.1567436432671248
SRR14514218_1	0.0	0.0
SRR14514218_2	0.209516174458652	0.462622414730522
SRR14514219_1	0.12072403074904522	0.0
SRR14514219_2	0.21651452843957833	1.0057467019375748
SRR14514220_1	0.0	0.0
SRR14514220_2	0.22928064290420686	1.190417653175001
SRR14514221_1	0.0	0.0
SRR14514221_2	0.0	0.0
