Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR14514210_2	0.17232104326647396	0.684734693016744
SRR14514211_1	0.0	0.0
SRR14514211_2	0.14110234832912366	0.2628892639757951
SRR14514212_1	0.0	0.0
SRR14514212_2	0.24071283655148407	0.8981884249958394
SRR14514213_1	0.0	0.0
SRR14514213_2	0.15752192339509613	0.3815865208735622
SRR14514214_1	0.0	0.0
SRR14514214_2	0.0	0.0
SRR14514215_1	0.0	0.0
SRR14514215_2	0.19447077479217137	0.258096666819675
SRR14514216_1	0.0	0.0
SRR14514216_2	0.2355904282495071	0.5470334006163664
SRR14514217_1	0.12608089331243325	0.0
SRR14514217_2	0.27091045535476166	1.310974828774286
SRR14514218_1	0.0	0.0
SRR14514218_2	0.21594448145835374	0.47669539817736073
SRR14514219_1	0.1228128569776298	0.0
SRR14514219_2	0.22282269000413096	1.0352092997236666
SRR14514220_1	0.0	0.0
SRR14514220_2	0.24029536837151563	1.0896885831634857
SRR14514221_1	0.0	0.0
SRR14514221_2	0.0	0.0
SRR14514222_1	0.2294953224139508	0.5568324991903864
SRR14514222_2	0.4037045301722995	1.4566373279142595
SRR14514223_1	0.0	0.0
SRR14514223_2	0.16512034868228917	0.22521226477556874
SRR14514224_1	0.3119425080768285	1.6904243813748632
SRR14514224_2	0.39853657304418877	3.310234836838058
SRR14514225_1	0.0	0.0
SRR14514225_2	0.12975892536565672	0.2377933351584138
SRR14514226_1	0.0	0.0
SRR14514226_2	0.4132444722178148	1.3114353897347042
SRR14514227_1	0.10146001675634429	0.0
SRR14514227_2	0.3256462332798468	0.8624025730454026
SRR14514228_1	0.0	0.0
SRR14514228_2	0.43273935699992977	1.3332110405848
SRR14514229_1	0.0	0.0
SRR14514229_2	0.23203615351039564	0.8024708307335138
SRR14514230_1	0.0	0.0
SRR14514230_2	0.3510310625228758	2.1166389225605244
SRR14514231_1	0.0	0.0
SRR14514231_2	0.15238487040347537	0.2624014022231047
SRR14514232_1	0.0	0.0
SRR14514232_2	0.2812346736853827	1.1473042051677558
SRR14514233_1	0.0	0.0
SRR14514233_2	0.1519360060471896	0.23086936831663213
SRR14514234_1	0.0	0.0
SRR14514234_2	0.24494919910532814	0.5678168802685515
SRR14514235_1	0.0	0.0
SRR14514235_2	0.3343184146810029	1.368458477925436
SRR14514236_1	0.0	0.0
SRR14514236_2	0.28343501208884114	0.6126300936203434
SRR14514237_1	0.0	0.0
SRR14514237_2	0.2364169842109921	0.13467289425863854
SRR14514238_1	0.0	0.0
SRR14514238_2	0.26047575011530605	0.20571519834233698
SRR14514239_1	0.0	0.0
SRR14514239_2	0.16718126166596037	0.5103616510268942
SRR14514240_1	0.0	0.0
SRR14514240_2	0.12357881486881174	0.22335919200152415
SRR14514241_1	0.0	0.0
SRR14514241_2	0.19781219908938003	0.8206180918883088
SRR14514242_1	0.0	0.0
SRR14514242_2	0.17165551293297818	0.3383582096529629
SRR14514243_1	0.0	0.0
SRR14514243_2	0.2749436623375874	1.0833422300192457
SRR14514244_1	0.0	0.0
SRR14514244_2	0.18313105169169724	0.11711431092098373
SRR14514245_1	0.0	0.0
SRR14514245_2	0.3041837631283516	1.094575471198227
SRR14514246_1	0.0	0.0
SRR14514246_2	0.2232149851273963	0.4703506777302417
SRR14514247_1	0.0	0.0
SRR14514247_2	0.21853514072183983	0.7288186087034081
SRR14514248_1	0.0	0.0
SRR14514248_2	0.3415813515958716	1.0534275564890168
SRR14514249_1	0.14521292587246323	0.0
SRR14514249_2	0.16152797526742352	0.9338144176111474
SRR14514250_1	0.0	0.0
SRR14514250_2	0.44632156968158043	2.233013597348356
SRR14514251_1	0.10594123681518919	0.0
SRR14514251_2	0.9080225844961918	6.190066942628303
SRR14514252_1	0.0	0.0
SRR14514252_2	0.2213164675922832	0.5792471037171512
SRR14514253_1	0.14251797340430505	0.33212219109192526
SRR14514253_2	0.19613423170293412	0.6744919949710543
SRR14514254_1	0.0	0.0
SRR14514254_2	0.1638822884324153	0.4016911401444913
SRR14514255_1	0.16578666947231996	0.0
SRR14514255_2	0.4501422356137748	2.775885760987854
SRR14514256_1	0.0	0.0
SRR14514256_2	0.26062499804339573	0.7578386078167496
SRR14514257_1	0.0	0.0
SRR14514257_2	0.19170736921005627	0.5340284263708954
SRR14514258_1	0.0	0.0
SRR14514258_2	0.2380856372911992	0.8541497448025832
SRR14514259_1	0.0	0.0
SRR14514259_2	0.16021069711429758	0.2550492393263329
SRR14514260_1	0.0	0.0
SRR14514260_2	0.3243001802755963	1.2279395737720704
SRR14514261_1	0.10204474264572637	0.0
SRR14514261_2	0.33636095553627937	1.7361209235149793
SRR14514262_1	0.0	0.0
SRR14514262_2	0.17121953455328803	0.6109990718566305
SRR14514263_1	0.0	0.0
SRR14514263_2	0.1937483174798515	0.7520063863808808
SRR14514264_1	0.0	0.0
SRR14514264_2	0.13852952504253385	0.23058394726539927
SRR14514265_1	0.0	0.0
SRR14514265_2	0.18092322188037105	0.6606742847421102
SRR14514266_1	0.0	0.0
SRR14514266_2	0.462930800556676	2.8933670206791895
SRR14514267_1	0.0	0.0
SRR14514267_2	0.516994734409099	3.4468768951251265
SRR14514268_1	0.0	0.0
SRR14514268_2	0.18157963433197613	0.5493246077661141
SRR14514269_1	0.0	0.0
SRR14514269_2	0.2132483600804215	0.9492128876852478
SRR14514270_1	0.13098314603213496	0.1032913119289719
SRR14514270_2	0.38978375991679376	1.9358849974486179
SRR14514271_1	0.13184872276984735	0.0
SRR14514271_2	0.44259565940786916	2.5287350213628557
SRR14514272_1	0.36642587755500594	2.0891119757563903
SRR14514272_2	0.31577790593206306	2.4214575172695256
SRR14514273_1	0.2072657503128586	0.459584657208941
SRR14514273_2	0.3612100055615096	2.944480059504741
SRR14514274_1	0.1839080459770115	0.15971644852519307
SRR14514274_2	0.47940145724251015	2.757323056075381
SRR14514275_1	0.0	0.0
SRR14514275_2	0.3853727624204136	1.6495000887153652
SRR14514276_1	0.0	0.0
SRR14514276_2	0.4083821402011965	2.054064628555995
SRR14514277_1	0.0	0.0
SRR14514277_2	0.14040534625977943	0.37148596675264034
