Sample	Unique Reads	Duplicate Reads
SRR14514278_2	16399443.0	10803091.0
SRR14514279_1	15362757.0	4391681.0
SRR14514279_2	11927077.0	7827361.0
SRR14514280_1	15263340.0	7662155.0
SRR14514280_2	10170734.0	12754761.0
SRR14514281_1	18162503.0	6756623.0
SRR14514281_2	14093965.0	10825161.0
SRR14514282_1	2771064.0	850415.0
SRR14514282_2	2405470.0	1216009.0
SRR14514283_1	23065640.0	9859295.0
SRR14514283_2	18026759.0	14898176.0
SRR14514284_1	13140495.0	3952175.0
SRR14514284_2	10474318.0	6618352.0
SRR14514285_1	25219365.0	9812703.0
SRR14514285_2	18588712.0	16443356.0
SRR14514286_1	17785594.0	5309975.0
SRR14514286_2	13186385.0	9909184.0
SRR14514287_1	18700284.0	7174155.0
SRR14514287_2	13401696.0	12472743.0
SRR14514288_1	21580284.0	8543946.0
SRR14514288_2	16797698.0	13326532.0
SRR14514289_1	20240262.0	7028337.0
SRR14514289_2	15932855.0	11335744.0
SRR14514290_1	18427594.0	5633709.0
SRR14514290_2	14035423.0	10025880.0
SRR14514291_1	22122018.0	5124909.0
SRR14514291_2	17679642.0	9567285.0
SRR14514292_1	18570528.0	7120269.0
SRR14514292_2	14459063.0	11231734.0
SRR14514293_1	26494059.0	8208683.0
SRR14514293_2	20248190.0	14454552.0
SRR14514294_1	23539510.0	8195923.0
SRR14514294_2	18018868.0	13716565.0
SRR14514295_1	24953452.0	8815214.0
SRR14514295_2	18836968.0	14931698.0
SRR14514296_1	19545851.0	5467065.0
SRR14514296_2	14775562.0	10237354.0
SRR14514297_1	14622347.0	7732746.0
SRR14514297_2	9920754.0	12434339.0
SRR14514298_1	23434788.0	9180706.0
SRR14514298_2	18236175.0	14379319.0
SRR14514299_1	16676548.0	8246140.0
SRR14514299_2	12288190.0	12634498.0
SRR14514300_1	14843205.0	4095887.0
SRR14514300_2	12152024.0	6787068.0
SRR14514301_1	21004821.0	7509056.0
SRR14514301_2	15826704.0	12687173.0
SRR14514302_1	17261797.0	7176341.0
SRR14514302_2	12486759.0	11951379.0
SRR14514303_1	17867426.0	5690042.0
SRR14514303_2	13254855.0	10302613.0
SRR14514304_1	18728079.0	6481785.0
SRR14514304_2	15027943.0	10181921.0
SRR14514305_1	27174037.0	13037677.0
SRR14514305_2	20729350.0	19482364.0
