Sample	Unique Reads	Duplicate Reads
SRR14514261_2	17183579.0	15350508.0
SRR14514262_1	17435946.0	4244355.0
SRR14514262_2	13571435.0	8108866.0
SRR14514263_1	28210697.0	6066636.0
SRR14514263_2	21330570.0	12946763.0
SRR14514264_1	19877420.0	5028712.0
SRR14514264_2	15128226.0	9777906.0
SRR14514265_1	26666595.0	5300603.0
SRR14514265_2	21006581.0	10960617.0
SRR14514266_1	21360672.0	7021080.0
SRR14514266_2	17153316.0	11228436.0
SRR14514267_1	20957334.0	7976293.0
SRR14514267_2	16894129.0	12039498.0
SRR14514268_1	24369799.0	4643724.0
SRR14514268_2	19298282.0	9715241.0
SRR14514269_1	10084147.0	2481809.0
SRR14514269_2	8071775.0	4494181.0
SRR14514270_1	25914601.0	10675309.0
SRR14514270_2	19364297.0	17225613.0
SRR14514271_1	16147547.0	5514666.0
SRR14514271_2	13076483.0	8585730.0
SRR14514272_1	19250319.0	11410549.0
SRR14514272_2	14618934.0	16041934.0
SRR14514273_1	19661060.0	9595602.0
SRR14514273_2	15980713.0	13275949.0
SRR14514274_1	20466645.0	7778035.0
SRR14514274_2	16577175.0	11667505.0
SRR14514275_1	10456166.0	2832222.0
SRR14514275_2	8473401.0	4814987.0
SRR14514276_1	17478561.0	5567016.0
SRR14514276_2	14331341.0	8714236.0
SRR14514277_1	21944130.0	3910397.0
SRR14514277_2	17533412.0	8321115.0
SRR14514278_1	21515071.0	6854738.0
SRR14514278_2	17197234.0	11172575.0
SRR14514279_1	16063608.0	4828106.0
SRR14514279_2	12592840.0	8298874.0
SRR14514280_1	16008976.0	8125334.0
SRR14514280_2	10913254.0	13221056.0
SRR14514281_1	18853677.0	7034724.0
SRR14514281_2	14791833.0	11096568.0
SRR14514282_1	3029221.0	960644.0
SRR14514282_2	2639470.0	1350395.0
SRR14514283_1	23969818.0	10261375.0
SRR14514283_2	18948503.0	15282690.0
SRR14514284_1	13949283.0	4593200.0
SRR14514284_2	11243254.0	7299229.0
SRR14514285_1	26483721.0	10400555.0
SRR14514285_2	19792268.0	17092008.0
SRR14514286_1	18569260.0	5684287.0
SRR14514286_2	13967943.0	10285604.0
SRR14514287_1	19466097.0	7630551.0
SRR14514287_2	14160519.0	12936129.0
SRR14514288_1	22427370.0	8962594.0
SRR14514288_2	17623045.0	13766919.0
SRR14514289_1	21118783.0	7404115.0
SRR14514289_2	16860415.0	11662483.0
SRR14514290_1	19194548.0	6004465.0
SRR14514290_2	14799584.0	10399429.0
SRR14514291_1	22931337.0	5330472.0
SRR14514291_2	18457970.0	9803839.0
SRR14514292_1	19224373.0	7395328.0
SRR14514292_2	15138895.0	11480806.0
SRR14514293_1	27767646.0	8777265.0
SRR14514293_2	21433301.0	15111610.0
SRR14514294_1	24570078.0	8633463.0
SRR14514294_2	19003119.0	14200422.0
SRR14514295_1	26012448.0	9202148.0
SRR14514295_2	19900050.0	15314546.0
SRR14514296_1	20279535.0	5777626.0
SRR14514296_2	15490631.0	10566530.0
SRR14514297_1	15455361.0	8353889.0
SRR14514297_2	10740613.0	13068637.0
SRR14514298_1	24434846.0	9571310.0
SRR14514298_2	19199727.0	14806429.0
SRR14514299_1	17378449.0	8603389.0
SRR14514299_2	12986497.0	12995341.0
SRR14514300_1	15413286.0	4278740.0
SRR14514300_2	12720113.0	6971913.0
SRR14514301_1	22144705.0	8076668.0
SRR14514301_2	16913520.0	13307853.0
SRR14514302_1	18033193.0	7569889.0
SRR14514302_2	13243571.0	12359511.0
SRR14514303_1	18541111.0	5968257.0
SRR14514303_2	13923544.0	10585824.0
SRR14514304_1	19456108.0	6769770.0
SRR14514304_2	15730627.0	10495251.0
SRR14514305_1	28237063.0	13574064.0
SRR14514305_2	21817560.0	19993567.0
SRR14514306_1	18640914.0	8910598.0
SRR14514306_2	15249269.0	12302243.0
SRR14514307_1	28782927.0	12084366.0
SRR14514307_2	21400580.0	19466713.0
SRR14514308_1	9282695.0	3351828.0
SRR14514308_2	7477419.0	5157104.0
SRR14514309_1	14635240.0	6970434.0
SRR14514309_2	10887007.0	10718667.0
SRR14514310_1	20101093.0	8738353.0
SRR14514310_2	15778534.0	13060912.0
SRR14514311_1	16629248.0	6700099.0
SRR14514311_2	12016534.0	11312813.0
SRR14514312_1	18455362.0	8110802.0
SRR14514312_2	13551593.0	13014571.0
SRR14514313_1	17554536.0	8625996.0
SRR14514313_2	13226534.0	12953998.0
SRR14514314_1	16596663.0	5530706.0
SRR14514314_2	12811245.0	9316124.0
SRR14514315_1	17122842.0	5049024.0
SRR14514315_2	13970010.0	8201856.0
SRR14514316_1	33831933.0	12526535.0
SRR14514316_2	26258092.0	20100376.0
SRR14514317_1	14699845.0	6660958.0
SRR14514317_2	10976965.0	10383838.0
SRR14514318_1	17739737.0	4442248.0
SRR14514318_2	13456474.0	8725511.0
SRR14514319_1	24044836.0	8711709.0
SRR14514319_2	19232027.0	13524518.0
SRR14514320_1	23028735.0	11403705.0
SRR14514320_2	17139255.0	17293185.0
SRR14514321_1	17967274.0	6132186.0
SRR14514321_2	13327505.0	10771955.0
SRR14514322_1	16413211.0	7633379.0
SRR14514322_2	11699393.0	12347197.0
SRR14514323_1	25599831.0	9909042.0
SRR14514323_2	19544405.0	15964468.0
SRR14514324_1	20372845.0	8589274.0
SRR14514324_2	15391028.0	13571091.0
SRR14514325_1	28242127.0	16452249.0
SRR14514325_2	21345649.0	23348727.0
SRR14514326_1	26624097.0	8484018.0
SRR14514326_2	21353388.0	13754727.0
SRR14514327_1	19324291.0	9735827.0
SRR14514327_2	15553368.0	13506750.0
SRR14514328_1	20385716.0	6282499.0
SRR14514328_2	16301986.0	10366229.0
SRR14514329_1	22793262.0	7234628.0
SRR14514329_2	17425817.0	12602073.0
SRR14514330_1	12781658.0	7732533.0
SRR14514330_2	10001909.0	10512282.0
SRR14514331_1	24839002.0	6846162.0
SRR14514331_2	18758572.0	12926592.0
SRR14514332_1	25128679.0	9130582.0
SRR14514332_2	19114255.0	15145006.0
SRR14514333_1	26484678.0	14156000.0
SRR14514333_2	20144358.0	20496320.0
SRR14514334_1	24220882.0	6274191.0
SRR14514334_2	19391281.0	11103792.0
SRR14514335_1	19366487.0	13077506.0
SRR14514335_2	14708672.0	17735321.0
SRR14514336_1	26473181.0	12552985.0
SRR14514336_2	20258533.0	18767633.0
SRR14514337_1	23789705.0	11340832.0
SRR14514337_2	17915867.0	17214670.0
SRR14514338_1	26037776.0	4421445.0
SRR14514338_2	19985570.0	10473651.0
SRR14514339_1	20165202.0	4067585.0
SRR14514339_2	15965713.0	8267074.0
SRR14514340_1	18976279.0	10521212.0
SRR14514340_2	13699544.0	15797947.0
SRR14514341_1	21448016.0	4598347.0
SRR14514341_2	16153268.0	9893095.0
