Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR14514179_1	SRR14514179_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35801978.0	3.4 Gbp	0.0	36-100	41.0	83.37257902403756	95.97446560075535	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514179_2	SRR14514179_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35801978.0	3.4 Gbp	0.0	36-100	41.0	65.32476513909359	95.81784039976786	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514180_1	SRR14514180_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22898706.0	2.2 Gbp	0.0	36-100	42.0	82.55779722711847	97.52843370276032	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514180_2	SRR14514180_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22898706.0	2.2 Gbp	0.0	36-100	42.0	56.91374058238791	97.38972315728233	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514181_1	SRR14514181_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31340051.0	3 Gbp	0.0	36-100	43.0	75.54575198063333	97.40859400643605	100	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
SRR14514181_2	SRR14514181_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31340051.0	3 Gbp	0.0	36-100	43.0	54.24154348148464	97.29439227779176	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514182_1	SRR14514182_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55979478.0	5.4 Gbp	0.0	36-100	41.0	83.02737911989138	96.94824281855576	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514182_2	SRR14514182_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55979478.0	5.4 Gbp	0.0	36-100	41.0	62.13828865842754	96.84526350888802	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514183_1	SRR14514183_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25039378.0	2.4 Gbp	0.0	36-100	43.0	86.61367247578335	98.23814305610946	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514183_2	SRR14514183_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25039378.0	2.4 Gbp	0.0	36-100	43.0	66.10544099640072	97.99958641145159	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514184_1	SRR14514184_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31408857.0	3 Gbp	0.0	36-100	41.0	78.43883935151436	96.34854811813113	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514184_2	SRR14514184_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31408857.0	3 Gbp	0.0	36-100	41.0	60.015221904230096	96.25596767179398	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514185_1	SRR14514185_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21802597.0	2.1 Gbp	0.0	36-100	40.0	88.04976259096604	96.38174544069223	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514185_2	SRR14514185_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21802597.0	2 Gbp	0.0	36-100	40.0	68.87382703576758	96.08526874115043	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR14514186_1	SRR14514186_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20124033.0	1.9 Gbp	0.0	36-100	42.0	83.50932804810324	97.37263062528271	100	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
SRR14514186_2	SRR14514186_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20124033.0	1.9 Gbp	0.0	36-100	42.0	62.01152090995842	97.23565042851997	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514187_1	SRR14514187_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17694354.0	1.7 Gbp	0.0	36-100	41.0	89.78834771466529	97.6283511678358	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514187_2	SRR14514187_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17694354.0	1.7 Gbp	0.0	36-100	41.0	73.69780760080772	97.53247222249539	100	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514188_1	SRR14514188_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22364480.0	2.1 Gbp	0.0	36-100	43.0	81.08427654805851	97.79885023036529	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514188_2	SRR14514188_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22364480.0	2.1 Gbp	0.0	36-100	42.0	63.699997747253136	97.36548303381076	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514189_1	SRR14514189_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29390334.0	2.5 Gbp	0.0	36-100	45.0	77.40501690878632	87.68931506528644	100	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
SRR14514189_2	SRR14514189_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29390334.0	2.5 Gbp	0.0	36-100	46.0	62.46455611429589	87.59067018428576	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514190_1	SRR14514190_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19678087.0	1.9 Gbp	0.0	36-100	42.0	85.2375515106499	97.59598582931359	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514190_2	SRR14514190_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19678087.0	1.9 Gbp	0.0	36-100	42.0	66.66674578399079	97.4100356401514	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514191_1	SRR14514191_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30763929.0	2.9 Gbp	0.0	36-100	41.0	83.94623722862335	96.06078748914028	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514191_2	SRR14514191_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30763929.0	2.9 Gbp	0.0	36-100	41.0	65.91076410153576	95.98946239929236	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514192_1	SRR14514192_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42545202.0	4.1 Gbp	0.0	36-100	42.0	79.84320258448825	96.76300989239633	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514192_2	SRR14514192_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42545202.0	4.1 Gbp	0.0	36-100	42.0	60.861244307815944	96.61918098308712	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
